odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
2.0459,28/05/2011,North Melbourne,Sydney,13834,10,9,17,71,-1,Docklands,Sydney,10,12,72,1.9367,10,12,1
1.2998,28/05/2011,Richmond,Port Adelaide,13837,10,10,14,74,-15,Marrara Oval,Port Adelaide,13,11,89,4.258,13,11,15
1.307,29/05/2011,Adelaide,Brisbane,13838,10,8,13,61,-40,Football Park,Brisbane,15,11,101,4.256,15,11,40
1.2874,29/05/2011,Collingwood,West Coast,13839,10,16,9,105,52,M.C.G.,West Coast,7,11,53,4.4756,7,11,-52
3.7855,29/05/2011,Western Bulldogs,Hawthorn,13840,10,9,8,62,-29,Docklands,Hawthorn,13,13,91,1.3524,13,13,29
5.0156,5/06/2011,Port Adelaide,Carlton,13809,7,10,12,72,-32,Football Park,Hawthorn,15,14,104,1.2202,15,14,32
5.3009,13/06/2011,Melbourne,Collingwood,13856,12,6,5,41,-88,M.C.G.,Collingwood,19,15,129,1.2261,19,15,88
1.3389,17/06/2011,Western Bulldogs,Adelaide,13857,13,14,16,100,30,Docklands,Adelaide,10,10,70,3.8902,10,10,-30
2.2814,18/06/2011,Brisbane,Richmond,13861,13,14,10,94,-31,Gabba,Richmond,18,17,125,1.7599,18,17,31
1.766,18/06/2011,Essendon,North Melbourne,13858,13,12,18,90,-21,Docklands,North Melbourne,17,9,111,2.2874,17,9,21
1.0353,18/06/2011,Hawthorn,Gold Coast,13859,13,19,15,129,71,York Park,Gold Coast,8,10,58,29.5456,8,10,-71
3.8055,18/06/2011,St Kilda,Geelong,13860,13,11,6,72,-28,M.C.G.,Geelong,15,10,100,1.3523,15,10,28
1.3114,19/06/2011,Carlton,Sydney,13863,13,15,10,100,34,Docklands,Sydney,10,6,66,4.2028,10,6,-34
1.71,19/06/2011,Melbourne,Fremantle,13862,13,22,17,149,89,M.C.G.,Fremantle,8,12,60,2.4039,8,12,-89
1.1087,19/06/2011,West Coast,Port Adelaide,13864,13,15,20,110,22,Subiaco,Port Adelaide,13,10,88,9.9836,13,10,-22
1.7155,24/06/2011,Hawthorn,Essendon,13865,14,23,8,146,65,M.C.G.,Essendon,12,9,81,2.3848,12,9,-65
1.1937,25/06/2011,Fremantle,Brisbane,13869,14,12,16,88,23,Subiaco,Brisbane,10,5,65,6.0666,10,5,-23
6.4787,25/06/2011,Gold Coast,Western Bulldogs,13866,14,13,10,88,-22,Carrara,Western Bulldogs,17,8,110,1.1781,17,8,22
2.1986,25/06/2011,Richmond,Melbourne,13867,14,13,13,91,-27,M.C.G.,Melbourne,17,16,118,1.8126,17,16,27
7.6815,25/06/2011,Sydney,Collingwood,13868,14,14,9,93,-6,Stadium Australia,Collingwood,13,21,99,1.1509,13,21,6
1.2561,26/06/2011,Carlton,West Coast,13871,14,10,7,67,-36,Docklands,West Coast,15,13,103,4.826,15,13,36
1.091,26/06/2011,Geelong,Adelaide,13870,14,19,11,125,52,Kardinia Park,Adelaide,10,13,73,11.5688,10,13,-52
3.0037,26/06/2011,Port Adelaide,North Melbourne,13872,14,14,7,91,-45,Football Park,North Melbourne,21,10,136,1.4924,21,10,45
2.1629,15/07/2011,Adelaide,Essendon,13888,17,10,13,73,-11,Football Park,Essendon,12,12,84,1.8548,12,12,11
5.5441,16/07/2011,Carlton,Collingwood,13889,17,11,13,79,-19,M.C.G.,Collingwood,13,20,98,1.2126,13,20,19
1.3289,16/07/2011,Melbourne,Port Adelaide,13892,17,17,11,113,21,Marrara Oval,Port Adelaide,14,8,92,4.0461,14,8,-21
1.2035,16/07/2011,Richmond,Gold Coast,13890,17,9,16,70,-15,Cazaly's Stadium,Gold Coast,12,13,85,5.9162,12,13,15
1.8994,16/07/2011,St Kilda,West Coast,13891,17,13,4,82,21,Docklands,West Coast,9,7,61,2.1024,9,7,-21
9.3847,17/07/2011,Brisbane,Geelong,13894,17,15,14,104,-29,Gabba,Geelong,20,13,133,1.1204,20,13,29
3.4087,17/07/2011,North Melbourne,Western Bulldogs,13895,17,21,16,142,31,Docklands,Western Bulldogs,17,9,111,1.4071,17,9,-31
1.3783,17/07/2011,Sydney,Fremantle,13893,17,13,9,87,-11,S.C.G.,Fremantle,15,8,98,3.6148,15,8,11
1.1815,22/07/2011,St Kilda,Adelaide,13896,18,19,13,127,103,Docklands,Adelaide,3,6,24,6.3268,3,6,-103
3.3876,23/07/2011,Essendon,Carlton,13899,18,12,7,79,-74,M.C.G.,Carlton,24,9,153,1.4166,24,9,74
