odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
4.3594,7/07/2012,Port Adelaide,Adelaide,14081,15,8,10,58,-58,Football Park,Adelaide,17,14,116,1.2926,17,14,58
3.3086,7/07/2012,St Kilda,Essendon,14082,15,21,7,133,71,Docklands,Essendon,8,14,62,1.4229,8,14,-71
1.2026,7/07/2012,Sydney,Brisbane,14080,15,16,14,110,47,S.C.G.,Brisbane,9,9,63,5.7309,9,9,-47
2.2921,13/07/2012,North Melbourne,Carlton,14086,16,24,5,149,53,Docklands,Carlton,14,12,96,1.7668,14,12,-53
2.6832,14/07/2012,Brisbane,St Kilda,14091,16,14,8,92,-13,Gabba,St Kilda,16,9,105,1.583,16,9,13
2.9716,14/07/2012,Geelong,Collingwood,14090,16,10,19,79,-31,M.C.G.,Collingwood,17,8,110,1.5008,17,8,31
3.5532,14/07/2012,Melbourne,Fremantle,14087,16,12,11,83,-34,Docklands,Fremantle,18,9,117,1.3823,18,9,34
2.7642,14/07/2012,Port Adelaide,Essendon,14088,16,11,11,77,-50,Football Park,Essendon,19,13,127,1.5622,19,13,50
1.2141,14/07/2012,Richmond,Gold Coast,14089,16,13,10,88,-2,Cazaly's Stadium,Gold Coast,13,12,90,5.534,13,12,2
27.4062,15/07/2012,GWS,Adelaide,14092,16,8,11,59,-119,Sydney Showground,Adelaide,27,16,178,1.0368,27,16,119
1.8797,15/07/2012,West Coast,Sydney,14094,16,10,9,69,-52,Subiaco,Sydney,18,13,121,2.1307,18,13,52
11.0535,15/07/2012,Western Bulldogs,Hawthorn,14093,16,6,8,44,-72,Docklands,Hawthorn,17,14,116,1.0973,17,14,72
2.13,20/07/2012,Geelong,Essendon,14095,17,20,14,134,67,Docklands,Essendon,10,7,67,1.8745,10,7,-67
1.4979,21/07/2012,Adelaide,West Coast,14097,17,19,10,124,49,Football Park,West Coast,11,9,75,2.9942,11,9,-49
1.9142,21/07/2012,Collingwood,Hawthorn,14096,17,13,13,91,-47,M.C.G.,Hawthorn,21,12,138,2.0628,21,12,47
4.4391,21/07/2012,Gold Coast,Brisbane,14098,17,5,18,48,-11,Carrara,Brisbane,8,11,59,1.2805,8,11,11
2.4257,21/07/2012,Melbourne,Port Adelaide,14100,17,8,8,56,-28,Marrara Oval,Port Adelaide,12,12,84,1.6944,12,12,28
2.47,21/07/2012,Western Bulldogs,Carlton,14099,17,12,12,84,-18,Docklands,Carlton,16,6,102,1.6818,16,6,18
1.02,22/07/2012,Fremantle,GWS,14103,17,18,24,132,95,Subiaco,GWS,5,7,37,43.9524,5,7,-95
2.1798,22/07/2012,Richmond,North Melbourne,14102,17,14,15,99,-4,M.C.G.,North Melbourne,15,13,103,1.842,15,13,4
1.3903,22/07/2012,Sydney,St Kilda,14101,17,15,15,105,29,S.C.G.,St Kilda,10,16,76,3.5612,10,16,-29
6.437,27/07/2012,Essendon,Hawthorn,14104,18,12,14,86,-94,Docklands,Hawthorn,27,18,180,1.1759,27,18,94
2.6593,28/07/2012,Carlton,Richmond,14108,18,14,11,95,4,M.C.G.,Richmond,13,13,91,1.5744,13,13,-4
51.8905,28/07/2012,GWS,Collingwood,14107,18,7,12,54,-120,Sydney Showground,Collingwood,26,18,174,1.02,26,18,120
1.6553,28/07/2012,Geelong,Adelaide,14105,18,15,12,102,27,Kardinia Park,Adelaide,11,9,75,2.5039,11,9,-27
16.5126,28/07/2012,Gold Coast,Sydney,14109,18,8,6,54,-72,Carrara,Sydney,19,12,126,1.0635,19,12,72
1.0919,28/07/2012,North Melbourne,Melbourne,14106,18,19,13,127,54,Docklands,Melbourne,11,7,73,11.8078,11,7,-54
2.9192,29/07/2012,Port Adelaide,Fremantle,14110,18,6,12,48,-27,Football Park,Fremantle,11,9,75,1.5158,11,9,27
1.1465,29/07/2012,St Kilda,Western Bulldogs,14111,18,16,22,118,76,Docklands,Western Bulldogs,6,6,42,7.8609,6,6,-76
1.1438,29/07/2012,West Coast,Brisbane,14112,18,28,7,175,98,Subiaco,Brisbane,12,5,77,7.6737,12,5,-98
1.1107,4/08/2012,Western Bulldogs,North Melbourne,13975,2,28,15,183,129,Bellerive Oval,GWS,8,6,54,6.5154,8,6,-129
1.3258,17/08/2012,Geelong,St Kilda,14131,21,18,15,123,42,Docklands,St Kilda,11,15,81,4.0448,11,15,-42
4.9674,18/08/2012,Brisbane,Adelaide,14135,21,13,17,95,10,Gabba,Adelaide,12,13,85,1.2493,12,13,-10
1.3211,18/08/2012,Collingwood,North Melbourne,14136,21,8,13,61,-30,Docklands,North Melbourne,13,13,91,3.984,13,13,30
2.1168,18/08/2012,Essendon,Carlton,14132,21,8,12,60,-96,M.C.G.,Carlton,24,12,156,1.8745,24,12,96
1.4615,18/08/2012,Fremantle,Richmond,14134,21,13,16,94,22,Subiaco,Richmond,11,6,72,3.1369,11,6,-22
5.4603,18/08/2012,GWS,Melbourne,14133,21,9,5,59,-25,Manuka Oval,Melbourne,11,18,84,1.2202,11,18,25
1.0168,19/08/2012,Hawthorn,Gold Coast,14139,21,19,15,129,64,M.C.G.,Gold Coast,10,5,65,61.7537,10,5,-64
7.1824,19/08/2012,Port Adelaide,West Coast,14137,21,6,14,50,-48,Football Park,West Coast,14,14,98,1.1558,14,14,48
11.4554,19/08/2012,Western Bulldogs,Sydney,14138,21,13,7,85,-82,Docklands,Sydney,26,11,167,1.0893,26,11,82
1.6302,24/08/2012,Richmond,Essendon,14140,22,13,24,102,45,M.C.G.,Essendon,8,9,57,2.5798,8,9,-45
27.8458,25/08/2012,Gold Coast,Carlton,14144,22,15,8,98,12,Carrara,Carlton,11,20,86,1.035,11,20,-12
2.5037,25/08/2012,Port Adelaide,Brisbane,14142,22,14,9,93,-11,Football Park,Brisbane,16,8,104,1.6572,16,8,11
1.0232,25/08/2012,St Kilda,GWS,14141,22,25,13,163,128,Docklands,GWS,5,5,35,34.9768,5,5,-128
2.0502,25/08/2012,Sydney,Hawthorn,14143,22,14,11,95,-7,S.C.G.,Hawthorn,15,12,102,1.9069,15,12,7
1.7634,25/08/2012,West Coast,Collingwood,14145,22,15,17,107,49,Subiaco,Collingwood,8,10,58,2.2851,8,10,-49
1.0377,26/08/2012,Geelong,Western Bulldogs,14146,22,16,11,107,34,Kardinia Park,Western Bulldogs,11,7,73,26.7931,11,7,-34
7.1916,26/08/2012,Melbourne,Adelaide,14148,22,11,15,81,-69,M.C.G.,Adelaide,22,18,150,1.1581,22,18,69
1.2979,26/08/2012,North Melbourne,Fremantle,14147,22,12,7,79,-53,Docklands,Fremantle,20,12,132,4.2522,20,12,53
1.2658,31/08/2012,Hawthorn,West Coast,14149,23,14,11,95,25,M.C.G.,West Coast,10,10,70,4.6138,10,10,-25
1.2128,9/09/2012,West Coast,North Melbourne,14161,24,24,18,162,96,Subiaco,North Melbourne,9,12,66,5.5341,9,12,-96
1.6116,14/09/2012,Adelaide,Fremantle,14162,25,12,9,81,10,Football Park,Fremantle,11,5,71,2.6148,11,5,-10
2.0665,15/09/2012,Collingwood,West Coast,14163,25,10,13,73,13,M.C.G.,West Coast,9,6,60,1.9283,9,6,-13
1.5278,21/09/2012,Sydney,Collingwood,14164,26,13,18,96,26,Stadium Australia,Collingwood,10,10,70,2.8713,10,10,-26
1.1666,22/09/2012,Hawthorn,Adelaide,14165,26,13,19,97,5,M.C.G.,Adelaide,14,8,92,6.9149,14,8,-5
2.7746,29/09/2012,Hawthorn,Sydney,14166,27,14,7,91,10,M.C.G.,Hawthorn,11,15,81,1.5577,11,15,-10
1.5642,22/03/2013,Adelaide,Essendon,14167,1,11,16,82,-35,Football Park,Essendon,18,9,117,2.7554,18,9,35
1.8018,23/03/2013,Fremantle,West Coast,14168,1,16,12,108,28,Subiaco,West Coast,11,14,80,2.234,11,14,-28
2.0201,28/03/2013,Carlton,Richmond,14169,1,14,17,101,-5,M.C.G.,Richmond,14,22,106,1.9757,14,22,5
21.2333,30/03/2013,GWS,Sydney,14171,1,11,10,76,-30,Stadium Australia,Sydney,16,10,106,1.0492,16,10,30
3.4932,30/03/2013,Gold Coast,St Kilda,14172,1,13,12,90,13,Carrara,St Kilda,10,17,77,1.3879,10,17,-13
4.3742,30/03/2013,Western Bulldogs,Brisbane,14170,1,19,13,127,68,Docklands,Brisbane,7,17,59,1.2858,7,17,-68
1.9796,31/03/2013,Melbourne,Port Adelaide,14173,1,8,6,54,-79,M.C.G.,Port Adelaide,19,19,133,2.0091,19,19,79
2.3539,31/03/2013,North Melbourne,Collingwood,14174,1,13,9,87,-16,Docklands,Collingwood,15,13,103,1.7282,15,13,16
5.0112,13/04/2013,GWS,St Kilda,14188,3,10,8,68,-72,Manuka Oval,St Kilda,21,14,140,1.244,21,14,72
1.5473,13/04/2013,Geelong,Carlton,14189,3,18,11,119,16,Docklands,Carlton,15,13,103,2.8118,15,13,-16
2.8127,13/04/2013,Gold Coast,Brisbane,14190,3,13,14,92,-2,Carrara,Brisbane,13,16,94,1.5482,13,16,2
18.6,13/04/2013,Melbourne,West Coast,14187,3,13,5,83,-94,M.C.G.,West Coast,27,15,177,1.0506,27,15,94
2.2485,13/04/2013,North Melbourne,Sydney,14186,3,13,14,92,-39,Bellerive Oval,Sydney,20,11,131,1.7943,20,11,39
2.5545,14/04/2013,Collingwood,Hawthorn,14192,3,13,12,90,-55,M.C.G.,Hawthorn,22,13,145,1.6248,22,13,55
3.0894,14/04/2013,Port Adelaide,Adelaide,14193,3,17,16,118,9,Football Park,Adelaide,16,13,109,1.47,16,13,-9
1.3022,14/04/2013,Richmond,Western Bulldogs,14191,3,20,15,135,67,Docklands,Western Bulldogs,10,8,68,4.2866,10,8,-67
1.6104,19/04/2013,Sydney,Geelong,14194,4,16,7,103,-21,S.C.G.,Geelong,19,10,124,2.5926,19,10,21
2.9403,20/04/2013,Gold Coast,Port Adelaide,14199,4,9,12,66,-38,Carrara,Port Adelaide,16,8,104,1.5169,16,8,38
1.186,20/04/2013,Hawthorn,Fremantle,14195,4,18,10,118,42,York Park,Fremantle,11,10,76,6.3146,11,10,-42
1.9929,20/04/2013,Richmond,Collingwood,14196,4,11,13,79,-34,M.C.G.,Collingwood,16,17,113,1.9974,16,17,34
2.8231,20/04/2013,St Kilda,Essendon,14197,4,13,13,91,-37,Docklands,Essendon,19,14,128,1.5399,19,14,37
1.4954,20/04/2013,West Coast,Carlton,14198,4,7,23,65,-24,Subiaco,Carlton,12,17,89,2.9934,12,17,24
1.1463,21/04/2013,Adelaide,Western Bulldogs,14201,4,12,8,80,52,Football Park,Western Bulldogs,4,4,28,7.8447,4,4,-52
1.4607,21/04/2013,Melbourne,GWS,14200,4,22,12,144,41,M.C.G.,GWS,15,13,103,3.1158,15,13,-41
1.2887,21/04/2013,North Melbourne,Brisbane,14202,4,18,17,125,63,Docklands,Brisbane,9,8,62,4.4559,9,8,-63
2.3722,25/04/2013,Essendon,Collingwood,14203,5,18,13,121,46,M.C.G.,Collingwood,10,15,75,1.7189,10,15,-46
6.297,25/04/2013,St Kilda,Sydney,14204,5,9,9,63,-16,Wellington,Sydney,11,13,79,1.185,11,13,16
1.4979,26/04/2013,Fremantle,Richmond,14205,5,12,9,81,1,Subiaco,Richmond,12,8,80,2.9936,12,8,-1
1.4703,27/04/2013,Carlton,Adelaide,14207,5,17,13,115,32,M.C.G.,Adelaide,12,11,83,3.0743,12,11,-32
3.7286,27/04/2013,GWS,Gold Coast,14206,5,16,8,104,-44,Manuka Oval,Gold Coast,21,22,148,1.3657,21,22,44
2.0313,27/04/2013,Port Adelaide,West Coast,14209,5,12,12,84,5,Football Park,West Coast,10,19,79,1.9568,10,19,-5
26.4221,27/04/2013,Western Bulldogs,Geelong,14208,5,13,8,86,-21,Docklands,Geelong,15,17,107,1.0355,15,17,21
1.2091,28/04/2013,Brisbane,Melbourne,14210,5,17,20,122,28,Gabba,Melbourne,14,10,94,5.6737,14,10,-28
1.198,28/04/2013,Hawthorn,North Melbourne,14211,5,14,15,99,3,M.C.G.,North Melbourne,13,18,96,6.0482,13,18,-3
1.0295,5/05/2013,Carlton,Melbourne,14219,6,18,13,121,61,M.C.G.,Melbourne,8,12,60,34.4158,8,12,-61
1.0836,5/05/2013,Sydney,Brisbane,14218,6,17,13,115,60,S.C.G.,Brisbane,8,7,55,13.0536,8,7,-60
1.0463,5/05/2013,West Coast,Western Bulldogs,14220,6,21,11,137,70,Subiaco,Western Bulldogs,10,7,67,21.5564,10,7,-70
4.3322,13/05/2013,St Kilda,Carlton,14229,7,11,11,77,9,Docklands,Carlton,9,14,68,1.2937,9,14,-9
1.4096,17/05/2013,West Coast,North Melbourne,14230,8,12,18,90,2,Subiaco,North Melbourne,13,10,88,3.3959,13,10,-2
3.5864,18/05/2013,Collingwood,Geelong,14234,8,15,12,102,6,M.C.G.,Geelong,14,12,96,1.3836,14,12,-6
1.0741,18/05/2013,Essendon,Brisbane,14231,8,12,14,86,-10,Docklands,Brisbane,14,12,96,13.3208,14,12,10
1.7349,18/05/2013,Gold Coast,Western Bulldogs,14233,8,13,15,93,32,Carrara,Western Bulldogs,8,13,61,2.3394,8,13,-32
1.0101,18/05/2013,Hawthorn,GWS,14232,8,21,14,140,83,York Park,GWS,9,3,57,79.6192,9,3,-83
1.3407,18/05/2013,Sydney,Fremantle,14235,8,11,4,70,0,S.C.G.,Fremantle,9,16,70,3.8501,9,16,0
1.384,19/05/2013,Adelaide,St Kilda,14238,8,12,15,87,40,Football Park,St Kilda,6,11,47,3.4865,6,11,-40
1.4196,19/05/2013,Carlton,Port Adelaide,14236,8,16,13,109,18,Docklands,Port Adelaide,14,7,91,3.3407,14,7,-18
1.059,19/05/2013,Richmond,Melbourne,14237,8,15,16,106,34,M.C.G.,Melbourne,11,6,72,17.2368,11,6,-34
1.682,24/05/2013,Collingwood,Sydney,14239,9,8,7,55,-47,M.C.G.,Sydney,15,12,102,2.4491,15,12,47
2.9899,25/05/2013,Brisbane,Carlton,14243,9,12,13,85,-13,Gabba,Carlton,13,20,98,1.4965,13,20,13
23.018,25/05/2013,GWS,West Coast,14241,9,8,7,55,-100,Sydney Showground,West Coast,23,17,155,1.0465,23,17,100
5.1846,25/05/2013,Port Adelaide,Geelong,14240,9,9,14,68,-48,Football Park,Geelong,18,8,116,1.2329,18,8,48
2.1483,25/05/2013,Richmond,Essendon,14244,9,9,8,62,-29,M.C.G.,Essendon,13,13,91,1.8552,13,13,29
1.204,25/05/2013,St Kilda,Western Bulldogs,14242,9,15,11,101,-9,Docklands,Western Bulldogs,17,8,110,5.7983,17,8,9
1.0352,26/05/2013,Fremantle,Melbourne,14247,9,19,16,130,90,Subiaco,Melbourne,6,4,40,27.1454,6,4,-90
1.0301,26/05/2013,Hawthorn,Gold Coast,14245,9,18,10,118,26,M.C.G.,Gold Coast,14,8,92,29.5373,14,8,-26
1.4381,26/05/2013,North Melbourne,Adelaide,14246,9,19,10,124,-1,Docklands,Adelaide,18,17,125,3.197,18,17,1
4.9234,31/05/2013,Brisbane,Collingwood,14248,10,7,9,51,-49,Gabba,Collingwood,14,16,100,1.2513,14,16,49
4.4551,14/06/2013,Carlton,Hawthorn,14263,12,13,9,87,-15,Docklands,Hawthorn,15,12,102,1.2796,15,12,15
1.1846,15/06/2013,Essendon,Gold Coast,14266,12,17,13,115,43,Docklands,Gold Coast,11,6,72,6.2903,11,6,-43
1.0803,15/06/2013,Fremantle,Brisbane,14265,12,12,14,86,40,Subiaco,Brisbane,6,10,46,12.4704,6,10,-40
1.4453,15/06/2013,Richmond,Adelaide,14264,12,16,14,110,38,M.C.G.,Adelaide,10,12,72,3.1635,10,12,-38
1.1475,16/06/2013,Collingwood,Western Bulldogs,14268,12,15,9,99,34,Docklands,Western Bulldogs,9,11,65,7.8159,9,11,-34
4.413,16/06/2013,GWS,Port Adelaide,14267,12,6,14,50,-75,Sydney Showground,Port Adelaide,19,11,125,1.2873,19,11,75
1.212,21/06/2013,Hawthorn,West Coast,14269,13,19,9,123,20,Docklands,West Coast,16,7,103,5.6066,16,7,-20
11.4405,22/06/2013,Port Adelaide,Sydney,14270,13,10,12,72,18,Football Park,Sydney,8,6,54,1.096,8,6,-18
1.17,22/06/2013,St Kilda,Melbourne,14271,13,16,8,104,35,M.C.G.,Melbourne,10,9,69,6.7325,10,9,-35
9.8486,22/06/2013,Western Bulldogs,Richmond,14272,13,8,13,61,-60,Docklands,Richmond,17,19,121,1.1111,17,19,60
6.3085,23/06/2013,Brisbane,Geelong,14274,13,15,13,103,5,Gabba,Geelong,14,14,98,1.1785,14,14,-5
1.4105,23/06/2013,Fremantle,North Melbourne,14273,13,10,7,67,38,Subiaco,North Melbourne,4,5,29,3.3866,4,5,-38
2.251,27/06/2013,West Coast,Essendon,14275,14,13,13,91,-7,Subiaco,Essendon,15,8,98,1.792,15,8,7
1.4587,28/06/2013,Sydney,Carlton,14276,14,8,17,65,22,S.C.G.,Carlton,5,13,43,3.1476,5,13,-22
1.412,29/06/2013,Geelong,Fremantle,14280,14,11,19,85,41,Kardinia Park,Fremantle,7,2,44,3.3886,7,2,-41
2.4588,29/06/2013,Gold Coast,Adelaide,14277,14,11,17,83,-28,Carrara,Adelaide,16,15,111,1.678,16,15,28
4.2682,29/06/2013,Melbourne,Western Bulldogs,14279,14,15,13,103,3,M.C.G.,Western Bulldogs,15,10,100,1.3157,15,10,-3
3.2678,29/06/2013,Port Adelaide,Collingwood,14278,14,13,8,86,35,Football Park,Collingwood,7,9,51,1.4364,7,9,-35
1.098,30/06/2013,Hawthorn,Brisbane,14281,14,21,17,143,58,York Park,Brisbane,12,13,85,11.1272,12,13,-58
1.0276,30/06/2013,North Melbourne,GWS,14282,14,19,16,130,86,Docklands,GWS,6,8,44,37.8229,6,8,-86
1.2031,30/06/2013,Richmond,St Kilda,14283,14,17,17,119,64,M.C.G.,St Kilda,8,7,55,5.7651,8,7,-64
1.3641,7/07/2013,Essendon,Port Adelaide,14292,15,18,10,118,30,Docklands,Port Adelaide,12,16,88,3.6947,12,16,-30
1.0681,7/07/2013,Fremantle,St Kilda,14291,15,15,10,100,30,Subiaco,St Kilda,11,4,70,15.8199,11,4,-30
19.4035,7/07/2013,Melbourne,Sydney,14290,15,13,7,85,-31,M.C.G.,Sydney,16,20,116,1.0504,16,20,31
3.1355,13/07/2013,Brisbane,North Melbourne,14298,16,18,9,117,12,Gabba,North Melbourne,17,3,105,1.4619,17,3,-12
1.3892,13/07/2013,Carlton,St Kilda,14297,16,16,14,110,36,Docklands,St Kilda,10,14,74,3.5246,10,14,-36
1.02,13/07/2013,Geelong,Melbourne,14295,16,13,20,98,68,Kardinia Park,Melbourne,4,6,30,46.6756,4,6,-68
3.6249,13/07/2013,Port Adelaide,Hawthorn,14294,16,12,7,79,-45,Football Park,Hawthorn,19,10,124,1.3735,19,10,45
1.2666,13/07/2013,Richmond,Gold Coast,14296,16,6,17,53,9,Cazaly's Stadium,Gold Coast,6,8,44,4.665,6,8,-9
1.0169,14/07/2013,Sydney,GWS,14299,16,24,27,171,129,S.C.G.,GWS,5,12,42,55.8318,5,12,-129
2.9983,14/07/2013,West Coast,Fremantle,14301,16,14,9,93,-28,Subiaco,Fremantle,19,7,121,1.5002,19,7,28
8.1734,14/07/2013,Western Bulldogs,Essendon,14300,16,14,6,90,-31,Docklands,Essendon,18,13,121,1.1324,18,13,31
1.6943,19/07/2013,North Melbourne,Carlton,14302,17,16,12,108,-1,Docklands,Carlton,16,13,109,2.43,16,13,1
30.0045,20/07/2013,GWS,Essendon,14304,17,11,11,77,-39,Sydney Showground,Essendon,18,8,116,1.0303,18,8,39
5.4204,20/07/2013,Gold Coast,Collingwood,14305,17,13,7,85,7,Carrara,Collingwood,11,12,78,1.2227,11,12,-7
1.0611,20/07/2013,Hawthorn,Western Bulldogs,14303,17,13,17,95,19,York Park,Western Bulldogs,11,10,76,17.1239,11,10,-19
4.2734,20/07/2013,Melbourne,Brisbane,14306,17,11,9,75,-19,Marrara Oval,Brisbane,13,16,94,1.3097,13,16,19
2.2357,20/07/2013,St Kilda,Port Adelaide,14307,17,13,14,92,-5,Docklands,Port Adelaide,14,13,97,1.7988,14,13,5
5.1109,21/07/2013,Adelaide,Geelong,14309,17,14,10,94,2,Football Park,Geelong,14,8,92,1.2342,14,8,-2
1.7659,21/07/2013,Richmond,Fremantle,14308,17,12,12,84,27,M.C.G.,Fremantle,8,9,57,2.2681,8,9,-27
2.8496,21/07/2013,West Coast,Sydney,14310,17,11,13,79,-34,Subiaco,Sydney,17,11,113,1.5331,17,11,34
3.6603,26/07/2013,Essendon,Hawthorn,14311,18,13,9,87,-56,Docklands,Hawthorn,22,11,143,1.3743,22,11,56
1.02,27/07/2013,Collingwood,GWS,14314,18,15,16,106,40,M.C.G.,GWS,10,6,66,45.4348,10,6,-40
1.3186,27/07/2013,Fremantle,Adelaide,14315,18,11,9,75,22,Subiaco,Adelaide,7,11,53,4.12,7,11,-22
1.0918,27/07/2013,Geelong,St Kilda,14316,18,21,11,137,101,Kardinia Park,St Kilda,5,6,36,11.3972,5,6,-101
3.1986,27/07/2013,Gold Coast,Carlton,14312,18,11,11,77,-43,Carrara,Carlton,16,24,120,1.4575,16,24,43
19.0489,27/07/2013,Melbourne,North Melbourne,14313,18,4,4,28,-122,Docklands,North Melbourne,22,18,150,1.0552,22,18,122
1.4016,28/07/2013,Port Adelaide,Brisbane,14317,18,9,17,71,9,Football Park,Brisbane,9,8,62,3.4705,9,8,-9
1.3366,28/07/2013,Sydney,Richmond,14319,18,16,14,110,47,S.C.G.,Richmond,9,9,63,3.9092,9,9,-47
2.5571,28/07/2013,Western Bulldogs,West Coast,14318,18,16,15,111,22,Docklands,West Coast,13,11,89,1.6264,13,11,-22
1.5909,16/08/2013,Hawthorn,Collingwood,14338,21,18,11,119,35,M.C.G.,Collingwood,12,12,84,2.6733,12,12,-35
1.0731,17/08/2013,Brisbane,GWS,14343,21,18,15,123,60,Gabba,GWS,9,9,63,13.6565,9,9,-60
2.7835,17/08/2013,Essendon,North Melbourne,14341,21,9,16,70,-45,Docklands,North Melbourne,17,13,115,1.5415,17,13,45
1.2532,17/08/2013,Port Adelaide,Gold Coast,14340,21,16,17,113,17,Football Park,Gold Coast,14,12,96,4.9134,14,12,-17
1.328,17/08/2013,Richmond,Carlton,14339,21,14,12,96,-10,M.C.G.,Carlton,16,10,106,4.0021,16,10,10
3.031,17/08/2013,West Coast,Geelong,14342,21,6,5,41,-66,Subiaco,Geelong,16,11,107,1.4864,16,11,66
39.4678,18/08/2013,Melbourne,Fremantle,14344,21,5,8,38,-95,M.C.G.,Fremantle,20,13,133,1.0283,20,13,95
1.0337,18/08/2013,Sydney,St Kilda,14345,21,18,10,118,59,S.C.G.,St Kilda,8,11,59,27.1812,8,11,-59
2.1357,18/08/2013,Western Bulldogs,Adelaide,14346,21,20,11,131,17,Docklands,Adelaide,17,12,114,1.847,17,12,-17
1.143,23/08/2013,Collingwood,West Coast,14347,22,15,11,101,62,M.C.G.,West Coast,5,9,39,7.4685,5,9,-62
1.0495,24/08/2013,Adelaide,Melbourne,14348,22,18,12,120,68,Football Park,Melbourne,7,10,52,22.0783,7,10,-68
1.5272,24/08/2013,Carlton,Essendon,14351,22,9,22,76,-6,M.C.G.,Essendon,12,10,82,2.87,12,10,6
1.1431,24/08/2013,Fremantle,Port Adelaide,14352,22,21,8,134,74,Subiaco,Port Adelaide,9,6,60,7.7182,9,6,-74
1.4465,24/08/2013,Geelong,Sydney,14350,22,13,14,92,44,Kardinia Park,Sydney,7,6,48,3.2162,7,6,-44
3.9901,24/08/2013,North Melbourne,Hawthorn,14349,22,15,13,103,-14,Docklands,Hawthorn,17,15,117,1.3309,17,15,14
1.618,25/08/2013,Brisbane,Western Bulldogs,14355,22,15,10,100,7,Gabba,Western Bulldogs,13,15,93,2.6035,13,15,-7
29.2649,25/08/2013,GWS,Richmond,14354,22,6,6,42,-121,Sydney Showground,Richmond,25,13,163,1.0321,25,13,121
1.7673,25/08/2013,St Kilda,Gold Coast,14353,22,17,14,116,46,Docklands,Gold Coast,10,10,70,2.29,10,10,-46
3.4999,30/08/2013,Sydney,Hawthorn,14356,23,16,4,100,-12,Stadium Australia,Hawthorn,17,10,112,1.3905,17,10,12
2.8955,31/08/2013,Essendon,Richmond,14360,23,9,11,65,-39,M.C.G.,Richmond,15,14,104,1.518,15,14,39
1.0438,31/08/2013,Geelong,Brisbane,14358,23,15,22,112,1,Kardinia Park,Brisbane,17,9,111,21.3957,17,9,-1
2.0857,31/08/2013,Port Adelaide,Carlton,14359,23,15,13,103,-1,Football Park,Carlton,15,14,104,1.9169,15,14,1
1.6839,31/08/2013,St Kilda,Fremantle,14357,23,16,16,112,71,Docklands,Fremantle,6,5,41,2.4507,6,5,-71
1.9807,31/08/2013,West Coast,Adelaide,14361,23,5,13,43,-86,Subiaco,Adelaide,19,15,129,1.9898,19,15,86
1.2223,13/09/2013,Geelong,Port Adelaide,14369,25,13,18,96,16,M.C.G.,Port Adelaide,12,8,80,5.4498,12,8,-16
1.3994,14/09/2013,Sydney,Carlton,14370,25,13,8,86,24,Stadium Australia,Carlton,8,14,62,3.4941,8,14,-24
1.4103,20/09/2013,Hawthorn,Geelong,14371,26,14,18,102,5,M.C.G.,Geelong,15,7,97,3.4199,15,7,-5
1.305,21/09/2013,Fremantle,Sydney,14372,26,14,15,99,25,Subiaco,Sydney,11,8,74,4.249,11,8,-25
1.6627,28/09/2013,Hawthorn,Fremantle,14373,27,11,11,77,15,M.C.G.,Fremantle,8,14,62,2.4929,8,14,-15
2.6271,14/03/2014,Collingwood,Fremantle,14374,1,5,16,46,-70,Docklands,Fremantle,17,14,116,1.6076,17,14,70
14.8324,15/03/2014,GWS,Sydney,14375,1,15,9,99,32,Sydney Showground,Sydney,9,13,67,1.0695,9,13,-32
3.0241,15/03/2014,Gold Coast,Richmond,14376,1,12,15,87,18,Carrara,Richmond,10,9,69,1.486,10,9,-18
1.7413,16/03/2014,Carlton,Port Adelaide,14377,1,12,15,87,-33,Docklands,Port Adelaide,18,12,120,2.3109,18,12,33
1.3884,20/03/2014,Geelong,Adelaide,14378,1,18,11,119,38,Kardinia Park,Adelaide,12,9,81,3.5346,12,9,-38
1.5361,21/03/2014,North Melbourne,Essendon,14379,1,9,6,60,-39,Docklands,Essendon,15,9,99,2.8439,15,9,39
1.1186,22/03/2014,Hawthorn,Brisbane,14380,1,21,13,139,48,York Park,Brisbane,13,13,91,9.2697,13,13,-48
2.3299,22/03/2014,St Kilda,Melbourne,14381,1,10,8,68,17,Docklands,Melbourne,6,15,51,1.7371,6,15,-17
1.2239,23/03/2014,West Coast,Western Bulldogs,14382,1,21,8,134,65,Subiaco,Western Bulldogs,11,3,69,5.4258,11,3,-65
1.5435,27/03/2014,Richmond,Carlton,14383,2,14,14,98,12,M.C.G.,Carlton,12,14,86,2.82,12,14,-12
2.8688,28/03/2014,Essendon,Hawthorn,14384,2,12,14,86,-4,Docklands,Hawthorn,13,12,90,1.5314,13,12,4
1.1001,29/03/2014,Fremantle,Gold Coast,14388,2,12,15,87,48,Subiaco,Gold Coast,5,9,39,11.0931,5,9,-48
1.7841,29/03/2014,Port Adelaide,Adelaide,14386,2,19,13,127,54,Adelaide Oval,Adelaide,11,7,73,2.2579,11,7,-54
1.8361,29/03/2014,St Kilda,GWS,14385,2,15,5,95,7,Docklands,GWS,13,10,88,2.183,13,10,-7
1.4489,29/03/2014,Sydney,Collingwood,14387,2,10,9,69,-20,Stadium Australia,Collingwood,12,17,89,3.1756,12,17,20
3.9248,30/03/2014,Brisbane,Geelong,14389,2,10,8,68,-25,Gabba,Geelong,13,15,93,1.3395,13,15,25
