date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-05-06,50,2012,6,Docklands,Carlton,GWS,1,67,1,82.5,67.5,1635.7265566972835,1132.679913440973
2012-05-06,51,2012,6,Football Park,Port Adelaide Power,Richmond,1,-37,0,65.0,80.5,1330.7908035272346,1366.5752088083045
2012-05-06,52,2012,6,Subiaco,West Coast,North Melbourne,1,25,1,69.0,71.5,1697.5998162575759,1487.2214313949034
2012-05-11,53,2012,7,M.C.G.,Melbourne,Hawthorn,1,-66,0,66.5,91.5,1297.7444297714792,1641.7088261669583
2012-05-12,54,2012,7,Gabba,Collingwood,Brisbane,0,58,1,87.5,62.0,1746.5907761858875,1348.8549137025589
2012-05-12,55,2012,7,Docklands,West Coast,Essendon,0,-61,0,65.5,76.5,1534.4853536211845,1565.0944689573137
2012-05-12,56,2012,7,Manuka Oval,Gold Coast,GWS,0,-27,0,71.5,77.0,1127.0120371151604,1156.1090204221991
2012-05-12,57,2012,7,M.C.G.,Richmond,Sydney,1,29,1,93.0,59.5,1420.035711727419,1575.7516467298526
2012-05-12,58,2012,7,Football Park,Adelaide,Geelong,1,50,1,85.0,65.5,1490.7952491388353,1722.2205002720075
2012-05-13,59,2012,7,Subiaco,Port Adelaide Power,Fremantle,0,-40,0,70.0,78.5,1302.33030060812,1569.8696546336919
2012-05-13,60,2012,7,Docklands,North Melbourne,Western Bulldogs,1,-18,0,66.0,87.5,1480.3358940312949,1461.3928232103353
2012-05-14,61,2012,7,Docklands,Carlton,St Kilda,0,-24,0,73.0,91.0,1597.2974497160574,1617.3709439896434
2012-05-18,62,2012,8,M.C.G.,Geelong,Collingwood,0,-12,0,72.5,78.0,1698.484416469106,1749.3505359418914
2012-05-19,63,2012,8,S.C.G.,Melbourne,Sydney,0,-101,0,54.5,82.5,1294.1049229314694,1579.4455393803046
2012-05-19,64,2012,8,M.C.G.,Richmond,Essendon,0,-19,0,66.5,67.5,1401.341819076967,1538.776375640635
2012-05-19,65,2012,8,Marrara Oval,Gold Coast,Western Bulldogs,0,-38,0,75.0,69.5,1113.2653261690723,1487.209851884146
2012-05-19,66,2012,8,York Park,Fremantle,Hawthorn,0,-56,0,68.5,90.0,1405.165362597219,1770.348333006968
2012-05-19,67,2012,8,Football Park,North Melbourne,Port Adelaide Power,0,-2,0,65.0,69.5,1464.5188653574842,1312.034592644593
2012-05-20,68,2012,8,Gabba,GWS,Brisbane,0,-92,0,61.5,90.5,1144.8557313682873,1346.095153946555
