date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2013-04-07,212,2013,2,Docklands,North Melbourne,Geelong,0,-4,0,77.5,70.5,1524.8093555960122,1717.628220492423
2013-04-12,213,2013,3,Subiaco,Essendon,Fremantle,0,4,1,74.5,80.5,1478.3614123363818,1656.2047474946455
2013-04-13,214,2013,3,Bellerive Oval,North Melbourne,Sydney,1,-39,0,67.5,66.5,1642.3729750727423,1623.6898907314292
2013-04-13,215,2013,3,Carrara,Brisbane,Gold Coast,0,2,1,74.5,68.5,1364.2090452314396,1193.6899177186576
2013-04-13,216,2013,3,Docklands,Carlton,Geelong,0,-16,0,68.0,78.5,1485.3836111923433,1765.064601015693
2013-04-13,217,2013,3,M.C.G.,Melbourne,West Coast,1,-94,0,63.5,82.5,1280.9392018309452,1495.0197047960075
2013-04-13,218,2013,3,Manuka Oval,GWS,St Kilda,1,-72,0,53.5,87.0,1122.3847682676733,1516.329428848923
2013-04-14,219,2013,3,Football Park,Adelaide,Port Adelaide Power,0,-9,0,68.0,74.5,1552.5499709447902,1306.507719921983
2013-04-14,220,2013,3,Docklands,Western Bulldogs,Richmond,0,-67,0,58.5,88.5,1355.122927225387,1446.7222656988681
2013-04-14,221,2013,3,M.C.G.,Hawthorn,Collingwood,0,55,1,79.5,67.5,1696.840351317754,1743.6074603543352
2013-04-19,222,2013,4,S.C.G.,Geelong,Sydney,0,21,1,78.0,73.0,1730.0623710700108,1664.4957277337546
2013-04-20,223,2013,4,Carrara,Gold Coast,Port Adelaide Power,1,-38,0,60.5,80.5,1185.5126076840334,1330.6506072337922
2013-04-20,224,2013,4,M.C.G.,Richmond,Collingwood,1,-34,0,71.0,71.5,1457.8567536743628,1726.6004688458056
2013-04-20,225,2013,4,York Park,Fremantle,Hawthorn,0,-42,0,66.5,74.5,1464.133683761027,1838.8473428262837
2013-04-20,226,2013,4,Subiaco,Carlton,West Coast,0,24,1,78.5,64.5,1480.3858411380254,1671.7928350433472
2013-04-20,227,2013,4,Docklands,Essendon,St Kilda,0,37,1,87.0,65.5,1500.4324760700003,1519.1443659242168
2013-04-21,228,2013,4,Docklands,North Melbourne,Brisbane,1,63,1,90.5,69.0,1541.5671380704168,1372.386355266064
2013-04-21,229,2013,4,M.C.G.,Melbourne,GWS,1,41,1,86.0,72.5,1274.1660715836056,1094.5698311923795
2013-04-21,230,2013,4,Football Park,Western Bulldogs,Adelaide,0,-52,0,60.5,77.0,1343.9884392498923,1543.4070836329809
2013-04-25,231,2013,5,Wellington,St Kilda,Sydney,1,-16,0,66.5,77.5,1513.3372888827123,1627.2933347977985
2013-04-25,232,2013,5,M.C.G.,Collingwood,Essendon,0,-46,0,60.5,64.5,1731.866011136408,1516.2395531115048
2013-04-26,233,2013,5,Subiaco,Richmond,Fremantle,0,-1,0,72.5,82.0,1452.5912113837605,1631.023386784903
2013-04-27,234,2013,5,Football Park,West Coast,Port Adelaide Power,0,-5,0,75.0,75.0,1479.2747655530084,1354.7252258718681
2013-04-27,235,2013,5,Docklands,Geelong,Western Bulldogs,0,21,1,79.5,80.0,1742.264764005967,1336.7625055852072
2013-04-27,236,2013,5,M.C.G.,Adelaide,Carlton,0,-32,0,68.5,84.5,1535.633017297666,1542.9039106283642
2013-04-27,237,2013,5,Manuka Oval,GWS,Gold Coast,1,-44,0,61.0,84.5,1111.6996162330076,1151.4379890459575
2013-04-28,238,2013,5,M.C.G.,North Melbourne,Hawthorn,0,-3,0,78.5,77.5,1509.7903552851728,1756.9576398024076
2013-04-28,239,2013,5,Gabba,Brisbane,Melbourne,1,28,1,92.0,69.0,1389.163138051308,1242.0362865429775
2013-05-03,240,2013,6,Docklands,Collingwood,St Kilda,1,26,1,72.0,64.0,1708.5925881357227,1493.0880172787752
2013-05-04,241,2013,6,M.C.G.,Geelong,Richmond,0,44,1,72.0,73.5,1744.914518197545,1444.6820322021576
2013-05-04,242,2013,6,Bellerive Oval,North Melbourne,Port Adelaide Power,1,10,1,75.5,61.5,1628.9637085551049,1359.883374628114
2013-05-04,243,2013,6,Football Park,Adelaide,Hawthorn,1,-11,0,72.0,72.0,1535.9468811785282,1722.7842865324756
2013-05-04,244,2013,6,Carrara,Fremantle,Gold Coast,0,45,1,82.0,69.5,1468.932565966506,1189.729787942913
2013-05-04,245,2013,6,Docklands,GWS,Essendon,0,-39,0,64.5,85.0,1073.4078173360522,1579.51297611219
2013-05-05,246,2013,6,S.C.G.,Sydney,Brisbane,1,60,1,88.0,63.0,1662.5426064017356,1373.1654542447882
2013-05-05,247,2013,6,Subiaco,West Coast,Western Bulldogs,1,70,1,75.0,69.0,1629.1166167967624,1334.1127513936292
2013-05-05,248,2013,6,M.C.G.,Melbourne,Carlton,0,-61,0,59.5,86.0,1233.0339703494972,1517.590046747502
2013-05-10,249,2013,7,Docklands,Geelong,Essendon,1,28,1,72.0,73.5,1749.4387608403265,1541.0578654706424
2013-05-11,250,2013,7,Docklands,North Melbourne,Western Bulldogs,0,54,1,72.0,64.0,1509.2208437665934,1329.4716530060473
2013-05-11,251,2013,7,Gabba,Brisbane,West Coast,1,-26,0,69.5,65.0,1393.3958607402647,1463.7577151843443
2013-05-11,252,2013,7,Football Park,Richmond,Port Adelaide Power,0,41,1,84.5,59.0,1440.1577895593762,1369.6262394166256
2013-05-11,253,2013,7,M.C.G.,Hawthorn,Sydney,1,37,1,85.0,68.0,1770.4149144883675,1642.3121999062591
2013-05-12,254,2013,7,M.C.G.,Melbourne,Gold Coast,1,-60,0,57.5,89.0,1268.1519977378146,1159.7205414205052
2013-05-12,255,2013,7,Sydney Showground,GWS,Adelaide,1,-135,0,65.0,86.0,1096.8629279775998,1513.3162532226363
2013-05-13,256,2013,7,Docklands,Carlton,St Kilda,0,-9,0,60.5,75.0,1522.4720193591845,1526.3577781740948
2013-05-17,257,2013,8,Subiaco,North Melbourne,West Coast,0,-2,0,74.5,83.5,1517.0859482909677,1645.7608092667824
2013-05-18,258,2013,8,M.C.G.,Geelong,Collingwood,0,-6,0,74.0,79.5,1756.3854893524474,1697.2837018989699
2013-05-18,259,2013,8,S.C.G.,Fremantle,Sydney,0,0,1,79.5,73.5,1491.9809378303469,1657.6051327881048
2013-05-18,260,2013,8,Docklands,Essendon,Brisbane,1,-10,0,73.0,74.5,1574.1111369585215,1356.3927666578265
2013-05-18,261,2013,8,Carrara,Western Bulldogs,Gold Coast,0,-32,0,77.5,74.5,1321.606548481673,1204.255611368848
2013-05-18,262,2013,8,York Park,GWS,Hawthorn,0,-83,0,63.0,88.0,1069.3615589935885,1865.1219816065218
2013-05-19,263,2013,8,M.C.G.,Richmond,Melbourne,1,34,1,82.0,60.5,1452.1538504263754,1208.616927789472
2013-05-19,264,2013,8,Docklands,Port Adelaide Power,Carlton,0,-18,0,69.0,81.5,1342.6301785496264,1547.639774058286
2013-05-19,265,2013,8,Football Park,St Kilda,Adelaide,0,-40,0,74.0,77.0,1501.1900234749933,1530.8176222066477
2013-05-24,266,2013,9,M.C.G.,Collingwood,Sydney,1,-47,0,72.5,75.0,1754.8110006412749,1625.951122588314
2013-05-25,267,2013,9,M.C.G.,Essendon,Richmond,0,29,1,70.5,72.0,1510.7750832704762,1498.0792405756497
2013-05-25,268,2013,9,Sydney Showground,GWS,West Coast,1,-100,0,63.0,90.0,1094.0572655420474,1485.4462630502376
2013-05-25,269,2013,9,Football Park,Geelong,Port Adelaide Power,0,48,1,90.0,73.0,1738.8581906101424,1350.5793143884355
2013-05-25,270,2013,9,Docklands,Western Bulldogs,St Kilda,0,9,1,72.0,67.5,1301.7243639985088,1487.4660581929882
2013-05-25,271,2013,9,Gabba,Carlton,Brisbane,0,13,1,88.5,69.0,1514.690638219477,1404.7288203458718
2013-05-26,272,2013,9,M.C.G.,Hawthorn,Gold Coast,1,26,1,80.5,66.5,1780.4262750580629,1199.137795852012
2013-05-26,273,2013,9,Subiaco,Fremantle,Melbourne,1,90,1,88.0,62.0,1668.6349480301376,1202.6915376401976
2013-05-26,274,2013,9,Docklands,North Melbourne,Adelaide,1,-1,0,79.5,66.5,1547.4004945075126,1529.5415874886528
2013-05-31,275,2013,10,Gabba,Brisbane,Collingwood,1,-49,0,54.0,90.5,1394.323841650449,1694.4894706313235
2013-06-01,276,2013,10,S.C.G.,Essendon,Sydney,0,-44,0,65.0,80.0,1525.2272035176125,1671.2726525982655
2013-06-01,277,2013,10,Football Park,Fremantle,Adelaide,0,7,1,79.5,73.5,1500.5559304186022,1560.3119401351853
2013-06-01,278,2013,10,Marrara Oval,Western Bulldogs,Port Adelaide Power,1,9,1,74.0,71.0,1334.0577928565422,1332.6800737145252
2013-06-01,279,2013,10,Docklands,Carlton,GWS,1,94,1,83.5,67.0,1565.0956169149,1066.2045771542867
2013-06-01,280,2013,10,Kardinia Park,Geelong,Gold Coast,1,52,1,79.5,72.5,1911.7574312840527,1198.1171671864722
2013-06-02,281,2013,10,M.C.G.,Melbourne,Hawthorn,1,-95,0,63.5,82.5,1200.770555251733,1741.4469037236026
2013-06-02,282,2013,10,Docklands,St Kilda,North Melbourne,0,-68,0,60.0,94.0,1465.1326293349548,1491.63014186098
2013-06-03,283,2013,10,Subiaco,West Coast,Richmond,1,-41,0,78.5,77.0,1658.2989514379983,1443.6271203285135
2013-06-07,284,2013,11,M.C.G.,Essendon,Carlton,1,5,1,76.5,71.5,1516.1856149766088,1526.702504174785
2013-06-08,285,2013,11,Carrara,North Melbourne,Gold Coast,0,-15,0,70.5,84.5,1505.4883651420207,1222.63194697032
2013-06-08,286,2013,11,Football Park,Adelaide,Sydney,1,-77,0,76.0,83.0,1542.7572068963093,1655.3142411392691
2013-06-08,287,2013,11,Sydney Showground,Geelong,GWS,0,59,1,78.5,69.0,1742.2426515002048,1089.5976898944016
2013-06-09,288,2013,11,Docklands,St Kilda,West Coast,1,-4,0,81.5,68.5,1491.2744060539142,1465.054248148792
2013-06-10,289,2013,11,M.C.G.,Melbourne,Collingwood,1,-83,0,56.0,79.5,1199.4925751057972,1699.0151920854646
2013-06-14,290,2013,12,Docklands,Carlton,Hawthorn,1,-15,0,66.0,72.0,1551.2485921969526,1742.7248838695384
2013-06-15,291,2013,12,Subiaco,Brisbane,Fremantle,0,-40,0,74.0,79.0,1364.7981201963078,1688.1106636574782
2013-06-15,292,2013,12,Docklands,Essendon,Gold Coast,1,43,1,83.5,67.5,1571.6395269544412,1222.7098499260128
2013-06-15,293,2013,12,M.C.G.,Richmond,Adelaide,1,38,1,78.0,71.0,1506.8718236177197,1517.4535246613075
2013-06-16,294,2013,12,Docklands,Collingwood,Western Bulldogs,1,34,1,70.0,72.0,1700.6165591492136,1338.99831225158
2013-06-16,295,2013,12,Sydney Showground,Port Adelaide Power,GWS,0,75,1,85.5,66.5,1317.7395543194873,1088.9130182238061
2013-06-21,296,2013,13,Docklands,Hawthorn,West Coast,1,20,1,76.5,68.5,1790.20457434272,1481.1841191649605
2013-06-22,297,2013,13,Docklands,Western Bulldogs,Richmond,1,-60,0,79.0,81.0,1375.6714931041893,1482.3285311697216
2013-06-22,298,2013,13,M.C.G.,Melbourne,St Kilda,0,-35,0,62.5,79.0,1197.8912080420482,1435.1445350377458
2013-06-22,299,2013,13,Football Park,Port Adelaide Power,Sydney,1,18,1,81.5,67.5,1339.0779327380665,1665.617923374271
2013-06-23,300,2013,13,Gabba,Brisbane,Geelong,1,5,1,73.5,80.0,1385.7610014130782,1742.9273231708003
2013-06-23,301,2013,13,Subiaco,Fremantle,North Melbourne,1,38,1,70.5,67.5,1692.1477824407077,1480.410462186328
2013-06-27,302,2013,14,Subiaco,Essendon,West Coast,0,7,1,71.0,83.0,1535.1886127224152,1646.8508179725786
2013-06-28,303,2013,14,S.C.G.,Carlton,Sydney,0,-22,0,65.5,84.5,1503.768901723771,1664.5905707656843
2013-06-29,304,2013,14,Football Park,Port Adelaide Power,Collingwood,1,35,1,76.5,74.5,1365.105285346653,1703.9433782966044
2013-06-29,305,2013,14,Carrara,Adelaide,Gold Coast,0,28,1,83.0,63.0,1501.9968171093055,1244.1607641580388
2013-06-29,306,2013,14,Kardinia Park,Geelong,Fremantle,1,41,1,79.5,66.5,1886.3307045710783,1528.9919069910238
2013-06-29,307,2013,14,M.C.G.,Melbourne,Western Bulldogs,1,3,1,80.0,64.0,1231.7919381610586,1325.1368508076475
2013-06-30,308,2013,14,York Park,Hawthorn,Brisbane,1,58,1,79.0,72.0,1879.5378755351019,1387.3576200128002
2013-06-30,309,2013,14,Docklands,North Melbourne,GWS,1,86,1,90.0,67.0,1513.566337636012,1057.574639805227
2013-06-30,310,2013,14,M.C.G.,St Kilda,Richmond,0,-64,0,71.0,81.5,1441.2438049187353,1532.8631734662633
2013-07-05,311,2013,15,M.C.G.,Collingwood,Carlton,0,41,1,80.5,62.5,1677.6783147984186,1495.2553544823363
2013-07-06,312,2013,15,M.C.G.,Geelong,Hawthorn,1,10,1,78.0,69.0,1719.7310914112697,1756.2045359770675
2013-07-06,313,2013,15,Football Park,Adelaide,West Coast,1,-6,0,69.5,80.0,1522.5405264807941,1457.1893741759054
2013-07-06,314,2013,15,Docklands,Richmond,North Melbourne,0,-62,0,62.5,93.0,1503.996854114916,1515.5929288144007
2013-07-06,315,2013,15,Gabba,Gold Coast,Brisbane,0,-33,0,69.5,77.5,1213.6170547865502,1410.6909595708346
2013-07-06,316,2013,15,Manuka Oval,Western Bulldogs,GWS,0,4,1,74.5,72.0,1306.2010726560172,1080.5480486268382
2013-07-07,317,2013,15,M.C.G.,Melbourne,Sydney,1,-31,0,74.0,77.0,1250.727716312689,1648.104118007119
2013-07-07,318,2013,15,Subiaco,St Kilda,Fremantle,0,-30,0,65.0,93.5,1430.1101242700827,1695.5915201508324
2013-07-07,319,2013,15,Docklands,Port Adelaide Power,Essendon,0,-30,0,62.5,88.0,1376.3703488448389,1594.8500565190884
2013-07-12,320,2013,16,M.C.G.,Adelaide,Collingwood,0,-27,0,78.0,78.5,1489.751900328894,1725.454428546428
2013-07-13,321,2013,16,Football Park,Port Adelaide Power,Hawthorn,1,-45,0,67.5,75.5,1384.7290928855186,1739.6356100622509
2013-07-13,322,2013,16,Gabba,North Melbourne,Brisbane,0,-12,0,81.5,66.0,1490.0924718430365,1417.991191500481
2013-07-13,323,2013,16,Cazaly's Stadium,Richmond,Gold Coast,1,9,1,78.5,68.0,1499.4973110862802,1206.3168228569039
2013-07-13,324,2013,16,Docklands,St Kilda,Carlton,0,-36,0,80.0,72.0,1424.7625566339007,1487.4792407343268
2013-07-13,325,2013,16,Kardinia Park,Melbourne,Geelong,0,-68,0,71.5,82.0,1207.9627669453498,1906.3000173260864
2013-07-14,326,2013,16,Subiaco,Fremantle,West Coast,0,28,1,76.0,69.5,1530.9390877870144,1474.9780003278056
2013-07-14,327,2013,16,S.C.G.,Sydney,GWS,1,129,1,87.0,62.0,1675.8690673744582,1049.1178619322125
2013-07-14,328,2013,16,Docklands,Essendon,Western Bulldogs,0,31,1,77.0,76.0,1561.4913124784086,1312.631259350643
2013-07-19,329,2013,17,Docklands,Carlton,North Melbourne,0,1,1,70.5,77.5,1499.8005755742633,1512.0235392092177
2013-07-20,330,2013,17,Carrara,Collingwood,Gold Coast,0,-7,0,81.0,77.5,1691.5971922737294,1226.6343973586459
2013-07-20,331,2013,17,Marrara Oval,Brisbane,Melbourne,0,19,1,81.0,77.5,1411.0601241342997,1217.4336519714632
2013-07-20,332,2013,17,York Park,Western Bulldogs,Hawthorn,0,-19,0,66.5,78.5,1306.8502259836273,1868.0784395151525
2013-07-20,333,2013,17,Docklands,St Kilda,Port Adelaide Power,1,-5,0,68.0,75.5,1452.4412217939641,1366.286263432617
2013-07-20,334,2013,17,Sydney Showground,GWS,Essendon,1,-39,0,78.0,76.5,1073.3260419043927,1567.2723458454243
2013-07-21,335,2013,17,Subiaco,West Coast,Sydney,1,-34,0,70.0,77.5,1632.373356019837,1651.660887402278
2013-07-21,336,2013,17,Football Park,Geelong,Adelaide,0,-2,0,64.0,74.5,1736.829132299973,1498.6091366015926
2013-07-21,337,2013,17,M.C.G.,Richmond,Fremantle,1,27,1,76.5,66.0,1534.1797365845382,1543.543732094983
2013-07-26,338,2013,18,Docklands,Hawthorn,Essendon,0,56,1,82.0,74.5,1744.2192502333016,1608.9230761191614
2013-07-27,339,2013,18,Subiaco,Adelaide,Fremantle,0,-22,0,69.0,80.0,1507.536861736444,1698.1395537709568
2013-07-27,340,2013,18,M.C.G.,GWS,Collingwood,0,-40,0,69.5,74.5,1046.6753116306556,1703.528349029907
2013-07-27,341,2013,18,Carrara,Carlton,Gold Coast,0,43,1,87.5,61.5,1515.3280657326854,1254.7032406024682
2013-07-27,342,2013,18,Docklands,North Melbourne,Melbourne,0,122,1,87.5,55.0,1456.4960490507956,1200.0232428572674
2013-07-27,343,2013,18,Kardinia Park,Geelong,St Kilda,1,101,1,88.5,68.5,1882.9014071651216,1393.7960244140302
2013-07-28,344,2013,18,Football Park,Port Adelaide Power,Brisbane,1,9,1,77.5,72.5,1399.931460812551,1418.4705332484955
2013-07-28,345,2013,18,Docklands,Western Bulldogs,West Coast,1,22,1,82.5,76.0,1345.7094152654781,1448.2052113246818
2013-07-28,346,2013,18,S.C.G.,Richmond,Sydney,0,-47,0,72.5,79.5,1509.5839149085643,1690.8290320974331
2013-08-02,347,2013,19,Docklands,Geelong,North Melbourne,0,-10,0,75.5,80.0,1714.5961494170003,1462.0753111826189
2013-08-03,348,2013,19,Sydney Showground,Melbourne,GWS,0,-37,0,66.5,84.0,1194.4439807254441,1071.0066607127665
2013-08-03,349,2013,19,Subiaco,Gold Coast,West Coast,0,-17,0,69.0,80.5,1224.2317146024138,1598.9041658850033
2013-08-03,350,2013,19,Docklands,Fremantle,Carlton,0,36,1,80.0,73.0,1535.6475159345723,1560.7995917327398
2013-08-03,351,2013,19,Gabba,Brisbane,St Kilda,1,31,1,73.0,72.5,1427.6708959332864,1392.1012821621514
2013-08-03,352,2013,19,M.C.G.,Richmond,Hawthorn,0,41,1,81.0,70.5,1501.7686799334704,1753.6564302324164
2013-08-04,353,2013,19,Docklands,Western Bulldogs,Sydney,1,-35,0,78.5,73.5,1365.0104607051567,1673.644267072527
2013-08-04,354,2013,19,Football Park,Adelaide,Port Adelaide Power,1,-4,0,77.5,69.5,1500.0288995728285,1400.73109812776
2013-08-04,355,2013,19,M.C.G.,Collingwood,Essendon,1,79,1,96.0,57.0,1704.1969999477963,1559.4858961200466
2013-08-09,356,2013,20,Docklands,Hawthorn,St Kilda,0,46,1,83.0,75.0,1729.356558254342,1418.6316030478806
2013-08-10,357,2013,20,Docklands,Western Bulldogs,Carlton,0,28,1,81.0,67.0,1320.6689013458506,1504.7155823676699
2013-08-10,358,2013,20,Stadium Australia,Collingwood,Sydney,0,29,1,70.5,74.5,1673.287180701423,1702.9858264318332
2013-08-10,359,2013,20,Carrara,Gold Coast,Melbourne,1,13,1,75.0,76.0,1246.1207562595023,1174.3282186409706
2013-08-10,360,2013,20,Kardinia Park,Port Adelaide Power,Geelong,0,-25,0,69.0,71.5,1419.9050949944171,1860.2794702053434
2013-08-10,361,2013,20,M.C.G.,Richmond,Brisbane,1,23,1,91.0,58.0,1566.0685519115448,1416.1405750475571
2013-08-11,362,2013,20,Docklands,West Coast,Essendon,0,53,1,69.0,71.5,1432.0151242279148,1590.3957153664198
2013-08-11,363,2013,20,Football Park,Adelaide,North Melbourne,1,9,1,80.0,70.5,1495.8549027061715,1486.3919903942758
2013-08-11,364,2013,20,Subiaco,Fremantle,GWS,1,113,1,87.0,64.5,1721.7315252996423,1066.12242279724
2013-08-16,365,2013,21,M.C.G.,Hawthorn,Collingwood,1,35,1,89.0,70.0,1733.6536097485284,1689.5662605143523
2013-08-17,366,2013,21,Docklands,North Melbourne,Essendon,0,45,1,72.0,65.0,1471.8004361664237,1528.9952046542492
2013-08-17,367,2013,21,Gabba,Brisbane,GWS,1,60,1,86.5,64.0,1432.2395299458992,1065.4490745623689
2013-08-17,368,2013,21,Football Park,Gold Coast,Port Adelaide Power,0,-17,0,64.0,91.0,1233.0645974760025,1432.7018717674484
2013-08-17,369,2013,21,M.C.G.,Carlton,Richmond,0,10,1,80.0,76.0,1482.437974525311,1534.9695970132027
2013-08-23,370,2013,22,M.C.G.,West Coast,Collingwood,0,-62,0,51.5,79.0,1441.3588317043943,1716.4595135673667
2013-08-24,371,2013,22,Docklands,North Melbourne,Hawthorn,1,-14,0,76.0,74.5,1529.2476662748713,1746.760356695514
2013-08-24,372,2013,22,M.C.G.,Carlton,Essendon,1,-6,0,76.0,69.0,1539.6888209493231,1511.5479745458015
2013-08-24,373,2013,22,Kardinia Park,Sydney,Geelong,0,-44,0,61.0,83.5,1665.9690064785923,1874.5394966680033
2013-08-24,374,2013,22,Football Park,Melbourne,Adelaide,0,-68,0,63.5,82.5,1158.8548937865664,1490.752362313438
2013-08-24,375,2013,22,Subiaco,Fremantle,Port Adelaide Power,1,74,1,81.0,70.0,1725.9343571724173,1424.9209040369585
2013-08-25,376,2013,22,Docklands,St Kilda,Gold Coast,1,46,1,89.0,61.0,1410.0722916940058,1225.8455652064924
2013-08-25,377,2013,22,Gabba,Brisbane,Western Bulldogs,1,7,1,79.5,65.0,1435.479296777022,1362.6406038087953
2013-08-25,378,2013,22,Sydney Showground,GWS,Richmond,1,-121,0,64.5,88.5,1087.209307731246,1517.7187505891904
2013-08-30,379,2013,23,Stadium Australia,Hawthorn,Sydney,0,12,1,83.0,70.0,1753.4304424368809,1684.0281023040418
2013-08-31,380,2013,23,Kardinia Park,Brisbane,Geelong,0,-1,0,80.5,73.5,1422.3798734282218,1881.4804008425538
2013-08-31,381,2013,23,Docklands,Fremantle,St Kilda,0,-71,0,55.0,93.5,1560.4413550124175,1417.7887419176802
2013-08-31,382,2013,23,M.C.G.,Essendon,Richmond,1,-39,0,60.0,82.0,1527.760262702745,1520.040745076546
2013-08-31,383,2013,23,Subiaco,West Coast,Adelaide,1,-86,0,62.0,78.5,1606.2502734747516,1479.6199163456904
2013-08-31,384,2013,23,Football Park,Carlton,Port Adelaide Power,0,1,1,66.0,74.0,1483.4765327923797,1435.4139061969584
2013-09-01,385,2013,23,M.C.G.,North Melbourne,Collingwood,0,11,1,83.5,68.5,1482.5775805335045,1721.5680717970095
2013-09-01,386,2013,23,Carrara,GWS,Gold Coast,0,-83,0,73.0,72.0,1059.8873132438905,1243.129114982818
2013-09-01,387,2013,23,Docklands,Melbourne,Western Bulldogs,0,-20,0,65.0,80.5,1154.987339754314,1390.7400271575955
2014-03-14,388,2014,1,Docklands,Fremantle,Collingwood,0,70,1,80.5,63.0,1539.606787415485,1697.6188938685282
2014-03-15,389,2014,1,Sydney Showground,GWS,Sydney,1,32,1,86.5,75.0,1077.1383216012466,1646.9852144091883
2014-03-15,390,2014,1,Carrara,Richmond,Gold Coast,0,-18,0,71.0,67.5,1535.3739686112883,1250.878106625462
2014-03-16,391,2014,1,Docklands,Carlton,Port Adelaide Power,1,-33,0,65.5,78.0,1536.414638251551,1407.475800737787
2014-03-20,392,2014,1,Kardinia Park,Geelong,Adelaide,1,38,1,78.0,66.5,1883.4734350055978,1499.85711424625
2014-03-21,393,2014,1,Docklands,North Melbourne,Essendon,1,-39,0,49.0,84.5,1506.5267584619855,1512.4270391680027
2014-03-22,394,2014,1,Docklands,St Kilda,Melbourne,1,17,1,66.0,74.5,1438.6233095146126,1148.8459863930432
2014-03-22,395,2014,1,York Park,Brisbane,Hawthorn,0,-48,0,69.5,89.0,1420.3868392651777,1890.4733303317344
2014-03-23,396,2014,1,Subiaco,Western Bulldogs,West Coast,0,-65,0,68.0,75.0,1356.8813805188663,1586.013075574192
2014-03-27,397,2014,2,M.C.G.,Carlton,Richmond,0,-12,0,68.5,84.5,1476.0901285816342,1510.257358212143
2014-03-28,398,2014,2,Docklands,Hawthorn,Essendon,0,4,1,63.0,82.0,1767.3518751560623,1567.1723280588787
2014-03-29,399,2014,2,Docklands,GWS,St Kilda,0,-7,0,68.0,69.0,1081.0507271215379,1443.3836699855701
2014-03-29,400,2014,2,Adelaide Oval,Adelaide,Port Adelaide Power,0,-54,0,67.0,77.5,1496.8868135782438,1427.8003104077038
2014-03-29,401,2014,2,Subiaco,Gold Coast,Fremantle,0,-48,0,69.0,77.0,1250.9947170246073,1730.9942800425767
2014-03-29,402,2014,2,Stadium Australia,Collingwood,Sydney,0,20,1,67.5,80.0,1636.2314012414365,1643.072808888897
2014-03-30,403,2014,2,Gabba,Brisbane,Geelong,1,-25,0,64.0,71.0,1443.5082944408498,1716.443735673604
2014-03-30,404,2014,2,Docklands,North Melbourne,Western Bulldogs,0,29,1,74.5,73.5,1491.7814695711095,1350.5517794401917
2014-03-30,405,2014,2,M.C.G.,Melbourne,West Coast,1,-93,0,66.0,80.0,1184.0856259220857,1422.3426766528667
2014-04-04,406,2014,3,M.C.G.,Fremantle,Hawthorn,0,-58,0,55.5,98.5,1562.7748125487064,1814.5538091783203
2014-04-05,407,2014,3,Subiaco,St Kilda,West Coast,0,-25,0,71.5,68.0,1406.6983394627762,1598.4139185023578
2014-04-05,408,2014,3,Adelaide Oval,Adelaide,Sydney,1,-63,0,66.5,69.5,1493.9428096487363,1602.7774797471675
2014-04-05,409,2014,3,M.C.G.,Geelong,Collingwood,0,11,1,80.0,71.0,1721.6053422461798,1651.526730383166
2014-04-05,410,2014,3,Docklands,Western Bulldogs,Richmond,1,2,1,68.0,74.0,1381.3341262701815,1523.7869772916943
2014-04-05,411,2014,3,Carrara,Gold Coast,Brisbane,1,53,1,73.5,72.0,1274.2141845184776,1413.3466878682739
2014-04-06,412,2014,3,Sydney Showground,Melbourne,GWS,0,-32,0,74.5,80.0,1138.0143840725946,1102.7360576443318
2014-04-06,413,2014,3,Docklands,Port Adelaide Power,North Melbourne,0,-7,0,70.5,83.5,1445.7443143372113,1540.9991227411197
2014-04-06,414,2014,3,M.C.G.,Carlton,Essendon,0,-81,0,63.5,87.5,1462.5605095020828,1519.9703940366207
2014-04-11,415,2014,4,M.C.G.,Collingwood,Richmond,0,38,1,77.5,72.0,1639.5118939596919,1502.9597308905245
2014-04-12,416,2014,4,Manuka Oval,Western Bulldogs,GWS,0,27,1,77.0,70.0,1362.1613726713513,1119.2539324773147
2014-04-12,417,2014,4,Kardinia Park,Geelong,West Coast,1,75,1,89.5,62.5,1903.620178669654,1435.8858775034448
2014-04-12,418,2014,4,Adelaide Oval,Port Adelaide Power,Brisbane,1,113,1,89.0,59.5,1449.7567611379777,1392.6416078427553
2014-04-12,419,2014,4,M.C.G.,Melbourne,Carlton,0,23,1,72.5,74.0,1121.4965092396117,1450.0167787978048
2014-04-12,420,2014,4,Carrara,Gold Coast,Hawthorn,1,-99,0,59.5,83.5,1294.9192645439962,1780.2568282211628
2014-04-13,421,2014,4,Subiaco,Fremantle,Essendon,1,53,1,80.0,68.0,1727.071793505864,1532.5141247408988
2014-04-13,422,2014,4,S.C.G.,North Melbourne,Sydney,0,43,1,81.0,64.0,1511.9866759403533,1638.226598463164
2014-04-13,423,2014,4,Docklands,Adelaide,St Kilda,0,86,1,88.0,62.5,1468.4936909327398,1439.2263804616891
2014-04-17,424,2014,5,Gabba,Brisbane,Richmond,1,-43,0,58.5,80.0,1405.0854920533482,1493.569255683095
2014-04-19,425,2014,5,Subiaco,Port Adelaide Power,West Coast,0,14,1,81.0,70.5,1447.3128769273849,1603.9833477101852
2014-04-19,426,2014,5,M.C.G.,North Melbourne,Collingwood,0,-35,0,64.5,82.5,1532.2090664732184,1688.9023691671214
2014-04-19,427,2014,5,Docklands,Essendon,St Kilda,1,-16,0,74.0,80.0,1525.1335857342588,1385.4869714948488
